fecha,abrir,max,min,cerrar,cierre_ajustado,volumen
"Jun 4, 2024",0704440,0718968,0697825,0715155,0715155,244227368
"Jun 3, 2024",0689935,0711952,0683770,0704440,0704440,291943405
"Jun 2, 2024",0698361,0704588,0686824,0689934,0689934,212510842
"Jun 1, 2024",0694621,0702254,0691228,0698361,0698361,180729766
"May 31, 2024",0696435,0707868,0684622,0694621,0694621,286690144
"May 30, 2024",0713980,0721468,0689695,0696435,0696435,329219857
"May 29, 2024",0731655,0744731,0713877,0713980,0713980,395786150
"May 28, 2024",0743618,0748429,0723213,0731655,0731655,360580549
"May 27, 2024",0716071,0749739,0714322,0743618,0743618,296911207
"May 26, 2024",0729689,0732907,0712867,0716071,0716071,186223198
"May 25, 2024",0723266,0733089,0721577,0729689,0729689,174669511
"May 24, 2024",0742192,0754753,0704875,0723266,0723266,307807234
"May 23, 2024",0722946,0757196,0699445,0742193,0742193,642961647
"May 22, 2024",0729187,0732249,0703645,0722947,0722947,372966290
"May 21, 2024",0750441,0758320,0720362,0729188,0729188,449562405
"May 20, 2024",0683313,0755940,0676555,0750441,0750441,395850289
"May 19, 2024",0709525,0712423,0680939,0683313,0683313,198194411
"May 18, 2024",0713777,0720191,0708475,0709525,0709525,195615156
"May 17, 2024",0694341,0720480,0690844,0713777,0713777,266591673
"May 16, 2024",0686706,0697961,0667561,0694341,0694341,285418373
